lsoa_code,intercept,curio_canopy_percentage,Population Density;Persons per hectare;2012,owner_occupied
E01000247,7.248154347867473,-0.00998950837257565,-0.004279906598243499,-0.03199205027100724
E01000248,7.343076890575155,-0.01145819843203054,-0.004716190199277991,-0.031901242367981954
E01000249,7.311354013868588,-0.010609942510480337,-0.0043742951391618455,-0.031781536810105454
E01000250,7.339732982771793,-0.011702578967768352,-0.004792611514076915,-0.03189801687334849
E01000251,7.244010522178346,-0.010560239668686168,-0.004403223689427194,-0.03175215637195268
E01000252,7.3053358621913285,-0.011830993807527989,-0.004796476914719538,-0.03170972267717013
E01000253,7.232699613226359,-0.010315140057428694,-0.00451309894138421,-0.030521186155119052
E01000254,7.323601026089388,-0.010717469760536816,-0.004471652956656007,-0.032060837772467224
E01000255,7.225736022528088,-0.016891599508930173,-0.008378140041058661,-0.029949111471077764
E01000256,6.733039368537429,-0.012949265770142784,-0.005336466185923492,-0.024040958394466422
E01000257,7.660592330157286,-0.02825171067915861,-0.00888171217999575,-0.03307666339567838
E01000258,6.7523006261537635,-0.011334402240727511,-0.0050066678332746995,-0.02420320740685622
E01000259,7.4449916188798175,-0.0229502133489924,-0.00863782627856429,-0.03182435930414497
E01000260,6.654384312293319,-0.015618505862725035,-0.004806199231408784,-0.021727844139312603
E01000261,6.960561801108684,-0.011598043406132366,-0.006250967072012587,-0.02689914723578747
E01000262,7.752627497626501,-0.028694941015530155,-0.010127085552990103,-0.033162699877595396
E01000263,7.00797244924019,-0.013618889462588041,-0.006359174625341342,-0.02585013972010465
E01000264,7.025784801408808,-0.015359795761532225,-0.006375312641848087,-0.025142537053479765
E01000265,6.976004149739984,-0.017903255850735246,-0.0038773911471421956,-0.02627991903463419
E01000266,7.209663102235112,-0.024461986179748534,-0.0043709715919781995,-0.027359040526582026
E01000267,7.232636287719844,-0.01295434780397464,-0.004823844738429754,-0.03087932883090841
E01000268,7.261835735951401,-0.011504063225598165,-0.00462651155148857,-0.031542180410300893
E01000269,7.3572141231578545,-0.01441750586895007,-0.00543078697519949,-0.03131081002021732
E01000270,7.23226784837604,-0.011534599365203279,-0.004564702107763216,-0.03132281114926068
E01000271,7.333746795720744,-0.01639065231336372,-0.00545205432782073,-0.030689529543294472
E01000272,7.227977907251399,-0.017820571276890296,-0.004717890104890021,-0.02960157556808521
E01000273,7.386174510721669,-0.024386422485560392,-0.00525095679350152,-0.029345871720877374
E01000274,7.082319936140995,-0.019688676882470963,-0.0038712420579370085,-0.027444649260300425
E01000275,8.194335437724265,-0.04704814381192483,-0.009050306055993081,-0.032136808644618486
E01000276,8.331398852401522,-0.048533546502168644,-0.010047656277001462,-0.03361724046777975
E01000277,8.173049825817554,-0.04515973512512362,-0.008742705690948486,-0.03277151188242683
E01000278,8.220643247944233,-0.04420802553833607,-0.009306646754514225,-0.03460874415689702
E01000279,7.7286207530758615,-0.0341215835995326,-0.008365301507942548,-0.028732648210685656
E01000280,7.6602482001197,-0.03301628773238604,-0.007205637645724232,-0.029197621802828047
E01000281,7.559656773065359,-0.03189556044069943,-0.0058457178758965595,-0.029056612108933334
E01000282,7.741966688070049,-0.03787243055568676,-0.006946932369392409,-0.029106231561564753
E01000283,8.100981302443545,-0.04872178107885036,-0.00892926044024323,-0.029934304718900812
E01000284,7.84922669985344,-0.03931771446687396,-0.007260876714201426,-0.030096724266487292
E01000285,7.390931237726757,-0.014684555375438956,-0.005601827190114523,-0.03102848950775294
E01000286,7.296898949923996,-0.012149288069834379,-0.004793675668911641,-0.030804700668550494
E01000287,7.354853023821204,-0.014454109794467837,-0.005418380351934917,-0.030623206389902423
E01000288,7.4038741998566975,-0.014972182050882715,-0.005735310379833203,-0.031450531893214805
E01000289,7.428636544102574,-0.015594121325127068,-0.005894404155494089,-0.03132311287719784
E01000290,7.234389277117786,-0.011296966281398705,-0.004559893172924147,-0.030261076946971624
E01000291,7.42685413585918,-0.015847379564802463,-0.005919258457189669,-0.03109450687438618
E01000292,7.377344540849621,-0.01318700378353926,-0.005229544947212662,-0.03156034931736816
